Index,Address,FLAG,Contract,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,1,0,30.78470361,307811.35,0,9999,1,2063,0,0,0.48,5.13E-05,0,0,0,0,0,0,10000,0,0.513267,0,0.513267,10001,36131810113,1.27283E+12,8.14494E+11,3780,2727,14,219,432.257929,362.7539767,332.8088413,224.4238724,0,19050562170,5839956.378,0,3.65871E+11,333724650.7,1.00E-11,3.65871E+11,641839235.1,4,200,,Kishu Inu
2,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0,1,0,12.61696673,126149.55,0,9999,1,1390,0,0,3.9,0.00040424,0,0,0,0,0,0,10000,0,4.042,0,4.042,1457,7.46633E+15,40256710.88,40200190.47,309,930,10,803,5102.848641,3995.324364,3998.206461,2982.773065,0,6.535E+15,6.86243E+12,1.337,35908881.22,109096.7775,1.337,35908881.22,287144.2177,9,691,Iron Fish,New Pope Coin
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,1,0,16.10846336,161054.5167,0,9999,1,4277,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,10000,18614900511,3.03054E+12,2.70966E+12,9073,719,13,115,162.4186938,2104.711383,2106.99404,193.913743,0,9848704122,20189696.87,0,2.25E+12,333833564.9,0,2.25E+12,660247701.1,4,112,,FEGtoken
4,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,22.47576424,224735.1667,0,10000,1,4851,0,0,50000,23.81798103,0,0,0,0,0,0,10001,0,238179.8103,0,238179.8103,10000,40782336.11,3988800,2386800,9972,24,1,9,0.000381105,26403.77716,26867.76474,71.88746708,0,19400000,1456512.004,400,400,400,400,400,400,1,9,$ ClaimLIDO.com,Tsuka Protectors of the realm
5,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0,1,0,69.27560012,692692.1167,0,9999,1,3691,0,0,3773,2.103824626,0,0,0,0,0,0,10000,0,21036.14243,0,21036.14243,10000,1803816.398,1442466.743,1369371.184,1361,2548,2,2,190.0702357,101.785438,100.7884517,66.52769277,1.00E-18,962107.4791,276.0661765,1.00E-18,962107.4791,416.1762098,1.00E-18,962107.4791,465.4558748,2,2,ChainPort,ChainPort
6,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0,1,0,70.10659299,700928.5333,0,9999,1,4074,0,0,0.34795098,0.000118211,0,0,0,0,0,0,10000,0,1.181992774,0,1.181992774,10001,3.47E+71,1381553434,1381551670,9835,124,6,52,121.9646162,15063.66402,15147.89847,247.069817,0,1.16E+71,2.11E+69,0.7,679708736,140458.8689,0.7,679708736,188839.7581,4,49,,# wbtc.gift
7,0xa2e3356610840701bdf5611a53974510ae27e2e1,0,1,0,54.44886977,544380.2,0,9999,1,3851,0,0,1820,1.003428589,0,0,0,0,0,0,10000,0,10033.28246,0,10033.28246,18,1706968.047,0,0,0,13,0,17,0,63217.57647,66155.2625,63217.57647,1.00E-10,1057823.945,94831.55819,0,0,0,0,0,0,0,17,,Mystery
8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,1,0,6.493883777,73409.15,0,9999,1,2259,0,0,4400,7.689963898,0,0,0,0,0,0,10000,0,76891.94902,0,76891.94902,10002,1.16E+59,8.97E+20,8.85E+20,7389,1581,25,890,416.2728469,1459.951843,1458.730895,352.519527,0,1.16E+59,4.79E+55,0,5.00E+20,1.18E+17,0,5.00E+20,1.56E+17,10,832,,USD
9,0xdc035d45d973e3ec169d2276ddab16f1e407384f,0,1,0,20.86019204,208560.4,0,9999,1,3472,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,4,7.749926072,0,0,0,3,0,4,0,35600.13333,10103.3,35600.13333,0.01,6.27056,1.937481518,0,0,0,0,0,0,0,4,,USDC
10,0x514910771af9ca656af840dff83e8264ecf986ca,0,1,0,1.222026072,12220.48333,0,9999,1,3388,0,0,0.005,9.13E-07,0,0,0,0,0,0,10000,0,0.009129,0,0.009129,10000,1.00E+18,2290195.737,1713958.737,9776,122,4,137,255.5913495,14538.6681,14262.40451,286.4439261,0,1.00E+18,5.05051E+15,1.337,241.75,233.6457597,1.337,241.75,233.5730086,4,133,LINKToken.io,bitwear io
