Unnamed: 0,Index,Address,Contract,FLAG,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
0,1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,0,0,3203.467552,26928.19848,2412260.717,754,89,0,41,124,0,45.80678514,6.595108525,0,31.22,1.152282925,0,30.22,1.051234842,843,868.8213252,586.9646588,746.3767376,-281.8566665,280,1.00E+19,36002144.44,17514156.29,32,57,42,60,16857.19372,16730.05238,16844.89568,8409.896237,1.30E-08,1.00E+19,7.09E+16,0,16830998.35,259008.2334,0,15000000,201312.1412,41,59,Kin,
1,1,0x0002b44ddb1476db43c868bd494422ee4c136fed,0,0,16481.76174,556066.5417,4516051.133,275,9,0,8,53,0,2.61326879,0.345769638,0,3.7,0.0386579,0,3.7,0.03034805,284,10.63092253,3.111926746,8.163625506,-7.518995779,127,1412941.479,78142.7768,49248.08127,80,33,7,29,39384.10488,90520.10465,92614.76865,50681.79359,0.95,1000000,32112.30634,2.260809454,6552.804102,941.4792385,2.260809454,6552.804102,965.6486524,7,29,Rigo Token,Pump
2,1,0x0002bda54cb772d040f779e88eb453cac0daa244,0,0,3716.483333,2704.468519,516729.3,2,10,0,10,2,0.1131191,1.16545261,0.358905665,0.05,3.53861565,1.794307825,0,0,0,12,3.58861565,3.58905665,0,0.000441,8,1298.51207,0,0,0,7,0,8,0,70565.48333,72947.71667,123489.5958,0.270350349,777,162.3140088,0,0,0,0,0,0,0,8,,INS Promo
3,1,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,0,0,16564.33819,49693.00208,397555.9,25,9,0,7,13,0,500,99.48883989,0,450,70.00183448,0,450,75.70970442,34,1750.045862,895.399559,1059.935862,-854.6463029,15,18889.05191,11412.23068,0,2,12,1,12,78522.18333,112825.2894,122507.2633,177296.8833,1,11412.23068,1574.087659,100,9029.23068,3804.076893,0,0,0,1,12,Raiden,Raiden
4,1,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0,0,628.4330473,20130.12719,2892729.767,4604,20,1,7,22,0,12.80241112,2.671094825,0,9,0.023323411,0,9,0.022670792,4624,107.3809828,53.4218965,104.3309828,-53.95908629,48,1.00E+12,128043.5706,128043.5706,5,28,7,32,315321.3907,76620.77883,78695.75046,60777.57057,0,1.00E+12,26315794027,100,45000,12804.35706,100,45000,12804.35706,7,32,StatusNetwork,Paymon Token
5,1,0x000895ad78f4403ecd9468900e68d6ee506136fd,0,0,19332.55,563.225,20926.68333,2,3,0,2,1,0.72414764,4.81377592,3.234907953,4.1668003,5.53691556,4.85185793,0,0,0,5,9.70371586,9.70472386,0,0.001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1,0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,0,313.4569444,864.1733333,8660.35,25,11,0,9,20,0.049,2.65,1.098115091,0.00945739,4.284785483,0.482495764,0.02345873,0.963057896,0.273115577,36,12.0623941,12.079266,1.365577886,0.016871896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0,0,10967.074,4329.495833,2370313.3,217,5,0,3,5,0.11848974,2,0.891097948,0,0.7,0.04160577,0,0.5,0.034904632,222,9.028452028,4.45548974,7.399782021,-4.572962288,11,2376.654421,291.7975402,0,1,7,2,9,5.7,271956.9583,302259.1071,435131.1333,0.007849232,911,264.0727135,2.095082745,289.7024575,145.8987701,0,0,0,2,9,Ethereum Name Service,An Etheal Promo
8,1,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0,0,0,0,496.6166667,1,1,0,1,1,2,2,2,1.99938,1.99938,1.99938,0,0,0,2,1.99938,2,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1,0x0012f247c9f980eea0a9ad06893bfd95c3145794,0,0,2466.42381,5004.008333,30572.7,8,3,0,2,4,0.1,40,16.7,0.1,40,18.634625,19.1,40,24.775,11,149.077,50.1,99.1,-98.977,1,600,0,0,0,1,0,1,0,0,0,0,600,600,600,0,0,0,0,0,0,0,1,,AICRYPTO
10,1,0x0013e58a315d2e728f11630aa40abfbdddcab304,0,0,430066.6633,14372.48704,4300706.817,11,10,0,2,2,1.000052083,1.01487471,1.004819041,0.00136748,1.01416988,0.912901988,0.99908831,1.01416988,1.004055439,21,10.04192187,10.04819041,10.04055439,0.006268537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
