TxType,Timestamp,TxHash,Block,From,To,Value,Gas,GasPrice,Status,TokenName,TokenSymbol,TokenDecimal,ContractAddress,InternalType
ETH,2025-07-19 19:53:59,0x10e7b39c7eb64399914d51b906df8972e8e23bb5dcc647cd4430628995e0eeba,22955458,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xde0a6e7cc4d91a1d1afda677558c667ab9f29541,0.0,69927,0.660354779,Success,,,,,
ETH,2025-07-17 19:18:59,0xa5232e3a042182f85d15431fdfa8459bea51d29fa3bf1d595243d1a9e26b7388,22940971,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xde0a6e7cc4d91a1d1afda677558c667ab9f29541,0.0,193861,11.175667837,Success,,,,,
ETH,2025-07-17 19:13:59,0x5a1094c4dbdcb298fb8eb5221c0719f2a8b14fb0922b6ceb55304f782a7e48c8,22940946,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xde0a6e7cc4d91a1d1afda677558c667ab9f29541,0.0,178471,9.857138321,Success,,,,,
ETH,2025-06-02 22:35:11,0xe7cc1ed2dacf9df93edbc27883a2ffab6c94d034127715a6258495c25ed83684,22619994,0x7f67691c0fa071f61817c66e63bea566ae01c28d,0x0002b44ddb1476db43c868bd494422ee4c136fed,0.0,21000,2.058549427,Success,,,,,
ETH,2025-06-02 08:59:35,0x7797f408def87469738d6e6dfbdd146efee6331e4cec522bdb1ad3baf3062e57,22615963,0x7f674bc307507fdd2d76b703d8d29fd152fbc28d,0x0002b44ddb1476db43c868bd494422ee4c136fed,1e-10,21050,2.042058748,Success,,,,,
ETH,2025-06-02 08:57:35,0x94b3ba356d31d6069c92ee0d0a26e8b22fae75e20de91581d2a269e1754a929d,22615953,0x0002b44ddb1476db43c868bd494422ee4c136fed,0x7f6744f5bb65d9fd012e79f8f45a5e61179fc28d,3.06,21000,2.18138832,Success,,,,,
ETH,2025-04-28 06:20:59,0x1e9ed9dcfa348954edfdef6524b20243a7305a9f5c2feddb1ec13c0f330dbb59,22365736,0x0002b44ddb1476db43c868bd494422ee4c136fed,0x7f6744f5bb65d9fd012e79f8f45a5e61179fc28d,3.7,21000,0.473385983,Success,,,,,
ETH,2025-04-09 12:37:47,0xeaa320abb173d45c8363ca432d0b1186a86e718b713dd7748a77de062468141c,22231394,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xde0a6e7cc4d91a1d1afda677558c667ab9f29541,0.0,431444,0.960766089,Success,,,,,
ETH,2025-04-09 12:34:11,0xfc21dfdb1b31795aadd1017c9bc9f8a20ff02b1a445cdc2ad11dd39e7894f348,22231376,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xde0a6e7cc4d91a1d1afda677558c667ab9f29541,0.0,287547,1.089709769,Success,,,,,
ETH,2025-03-17 14:05:11,0x0c31895c188a4c79292c73852673e1caefec9b04b61fa9768aae60dc146782ac,22067092,0x0002b44ddb1476db43c868bd494422ee4c136fed,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,94584,1.136234994,Success,,,,,
