TxType,Timestamp,TxHash,Block,From,To,Value,Gas,GasPrice,Status,TokenName,TokenSymbol,TokenDecimal,ContractAddress,InternalType
ETH,2017-06-22 01:39:19,0xe2a10a4020e9eb4c69c0497800bf72b8380be5f0fb3b96b17768b1a7eaf5188a,3910812,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0x0e293af1edc0156bfe5acdc0e6d5d81a94722f51,330.62346995670083,21000,51.0,Success,,,,,
ETH,2017-06-22 01:38:14,0x588fc74fc5e554194fed68bec8d9aadc11e5ed3921526caf4798b1c9643b7872,3910806,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0x0e293af1edc0156bfe5acdc0e6d5d81a94722f51,1.0,21000,51.0,Success,,,,,
ETH,2017-06-20 12:12:28,0xd0c6f60527e2253955bb7917e96b71366199247c992ca792b908cbd9fcb3e4eb,3903161,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0xdba72f0e063b94240ce6428b3a3ff7b0ecfb4285,300.0,21000,24.313966608,Success,,,,,
ETH,2017-06-19 14:59:40,0xc4acaf0a78d33026ca34db9d40a62929f2ab9f926650f0cf4249bcae409dc8c4,3898628,0x8271b2e8cbe29396e9563229030c89679b9470db,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,74.05180163,90000,20.0,Success,,,,,
ETH,2017-06-19 14:48:59,0x1682e9ded4d1a595ed1801a022d2cac1eb20a17ced1e09b7dfb502fb77a1435b,3898599,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0x823c02298b56e75e755a0458b421ce2f40806403,20.0,21000,20.0,Success,,,,,
ETH,2017-06-18 14:18:46,0x20936b786342451e4b0edacfdeee1588e0d57ba1283489a27eb4cc28d32c1920,3893174,0xdba72f0e063b94240ce6428b3a3ff7b0ecfb4285,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,15.254712,21000,21.0,Success,,,,,
ETH,2017-06-15 10:58:55,0xf2e7d1b00a5bcde83aeb3483bbd7f66ae79b3deea401bd0cf6fbd0c1417f6199,3876400,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0x40697b91001503eeff18709d1130fe3fc8865c07,15.0,21000,21.0,Success,,,,,
ETH,2017-06-13 20:48:52,0xcd0cba93963b96a5cdfaff87a52b55a0bb9f131423d0685d4dc1db024867c0a6,3868015,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0xc296616cf171c9b46cff9f202cd745677f4c91a2,3.0,21000,21.00000001,Success,,,,,
ETH,2017-06-13 20:37:05,0x2d820ce0396365134929fb1acafed38212cdfb2ea70172aa52c0377af0c69e68,3867968,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0x6c74794af697a839ed1754534989eeaede204c48,6.0,21000,21.00000001,Success,,,,,
ETH,2017-06-13 12:50:16,0xbb2b06d364ee821012c952cecf314ed8429189d582f9ef1faf9715a5e132c668,3866251,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,3.34304881,31000,20.0,Success,,,,,
ETH,2017-06-13 12:43:16,0x474bf0c7cc0b71b21466287e9d606963b4e385f7513693a2db6c24bb052e22d3,3866235,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.02424032,31000,20.0,Success,,,,,
ETH,2017-06-13 12:39:40,0x1cda9d3126bfe1648b2f4cf45b7eb7a8153a47bd6ec6668c7bba3ed1ca26e57c,3866220,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.3848381,31000,20.0,Success,,,,,
ETH,2017-06-13 12:39:11,0x472133cf8d1015cd74a289e479a889821d4aad2b6d82d4141b0b6555997d9d4a,3866218,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,4.84373398,31000,20.0,Success,,,,,
ETH,2017-06-13 12:38:56,0x45dba72c51050830836f5c415baa563e876f86087036c66a5b3ff38f74e33a71,3866216,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.3848381,31000,20.0,Success,,,,,
ETH,2017-06-13 12:38:05,0x156f0a55115657c6169e5bb8cec55658d69655736facfb788b6e826d46dc5e1f,3866210,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.3717233,31000,20.0,Success,,,,,
ETH,2017-06-13 12:37:59,0x5a615bec4c53025287edb1025582ac151dde1e85361619950990fbeb8f1eb7d0,3866209,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.3717233,31000,20.0,Success,,,,,
ETH,2017-06-13 12:32:56,0x179158e112b0d61148dbbd24ec37a0a2b4fe75f9e8bd9c9ce838245142918716,3866189,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,5.272114,31000,20.0,Success,,,,,
ETH,2017-06-13 03:00:34,0xaf79940cf0acca2d74b1663b2a750385cda1eeb4da46997f3845fb55008ac50b,3864088,0x8717ee26289cb9855f76626ea1e67529defc9420,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,70.0,21000,22.458870304,Success,,,,,
ETH,2017-06-13 02:53:46,0x656ac33c635c1a508e4149e48029fbd3e30d7732f91d079935e53cd87464f18c,3864061,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,34.16042464,121001,22.458870304,Success,,,,,
ETH,2017-06-12 21:45:34,0xa056011edaafcad26ada6dc1eb2127dc84615864d8b8297bf2fb343af1f231cf,3862947,0x92cbe97524325f924fe312d8e43e4c7bf62b13eb,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,1.02125706,21000,21.0,Success,,,,,
ETH,2017-06-12 21:25:38,0x953d390f0e31c0581d0f052a6aba61aa51c512e52f4504face8d43a026b36b66,3862868,0x7350b3aa59148bf86d484b29495aae1af9f3ef74,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0.997438,21000,21.0,Success,,,,,
ETH,2017-06-12 21:16:56,0x62b593274c4878d276280b0f435f596b4f00df033f0f05749e931561b059111d,3862837,0x611f0661471057c43d30f78373999b7936cf1425,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,379.0,21000,22.458870304,Success,,,,,
ETH,2017-06-12 17:04:34,0x1716dd3717c67c053e085a9be0599b41ddc408b8962361fecf3ab7cbfd4334a5,3861902,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,60.93185535,121001,24.161021854,Success,,,,,
ETH,2017-04-18 12:04:07,0x6622d0ec68a7cf5a4a712512daf7c1bc6e44b3fbcb888c4569604cf795ddca9b,3557153,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,,0.0,1323120,20.0,Success,,,,0x690287d8bf6b6dac5ed0e76a496fac18ba24200b,
ETH,2017-04-18 11:57:44,0x9dbbd3697d022b1db2dca6037475ea0c44e8bc5c3def1e494c078c03ae4b0a0f,3557123,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,,0.0,1328203,20.0,Success,,,,0x391b32a8519c5e02bfc66eb2069492567a543241,
ETH,2017-04-18 11:54:07,0x6e746265b5b85122ed79078eb466fc00cf93a5bcf2d9577de7dc3eebcb7667a7,3557112,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,,0.0,181583,20.0,Success,,,,0x5e5398a721f484da3314f2dfd290857e812b9f4b,
ETH,2017-04-18 11:41:24,0xd65977c43d9d84fa6fdd88444a2770f0eed125b7b5d0a078239cdbad000235c3,3557057,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,,0.0,1951846,20.0,Success,,,,0xb2819063d684d8e7603bc868209e72f65dd25381,
ETH,2017-04-18 04:00:16,0x233c806364e63f694c2b033986f649054eb732f8d6b17c7317fedce3af0a4014,3555199,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0xaa7269a555848d2a45baf6be3ee74e2cfeaf0e5c,0.1,152078,20.0,Success,,,,,
