blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
18576388,1700040371,0xc9d7d3cd5109a5344ab0ca420afcb0c8dd7fdac257a39b4db1b430fdcad50ded,3,0xd43730c452c481baeb9c16cb1986e396e2fb0463acd9520fa7edcf0a015c8ed9,0x48f7661e84a823505d683d092a2dccda1e5aa119,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,49000000000000000000000000,Wisdom Protocol,WIS,18,112,94369,24663215410,62913,11919751,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",5046427
18576392,1700040419,0x82335f74f9e721c71d22711bdc83723705bfe89dfe28fa8619c0486b42450e36,5,0x2ade23c51aab900458474fd0fc40243750bb2d55f888c3b70c761ee63a05aafd,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,49000000000000000000000000,Wisdom Protocol,WIS,18,65,4298256,24039459148,2795527,8974167,deprecated,0x9e78fb4f,createPair(),5046423
18576691,1700044043,0x97fa3da1f0f0d045c1363739267f8fbcdbe49dc72e24a1c60c8224c45fc487bb,1595,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,5,416561,23394680929,250193,729006,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0x48c84a2d427f5e589623530f68c0c88f161912f3423ffb2720fedfbf00859b84,185,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,6,416561,23387468893,189053,918059,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0x376584dd51ebfb16a49e469df2d91e02f069af8132dc025ec1739e62cdf6d348,198,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,7,416561,23451115315,189053,1107112,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0x1b9719044983e816b2cfffbaac10ecceb6efba4213421f432ba59518928c6ab6,148,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,8,416561,23379155961,189053,1296165,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0x16e6765465da02c26e2927d890fe8b7a813786bf1cba82e5ec02519071663e60,177,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,9,416561,23414994646,189053,1485218,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0x1a8fce0e25ad9c39784c2406b6acd78c365b5b06122db9ad6d7f1a71670d10c1,162,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,10,416561,23400151652,189053,1674271,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0xc17679c610de208497061ec90bbec64b337f1393eb6d4e1edb5038c8219c7026,195,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,11,416561,23408050753,189053,1863324,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0xdd896d25935e23e4bf375f78805b754953eed09fbce31644b3c54306dbb7f798,151,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,200000000000000000000000,Wisdom Protocol,WIS,18,12,416561,23445374486,189053,2052377,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0xa7384f17b31385169321a6c7cb0ec924dda9a2b97022601f0f44c231932ecee6,204,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,198152390145447441454212,Wisdom Protocol,WIS,18,13,416561,23425724696,197029,2249406,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
18576691,1700044043,0xd713a385a747ca5dd3eefd804285c3281d16dc0bdf10d04cefc03f46602a6b9f,138,0xe6eb12ce305873a92d091ac6b3ef417115c1080cdfefa79f20763e0538292628,0x6e0367d897a8fd8bcbc44b4e2a14bafa904360aa,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,0x2ae38b2b47bf41ba4ab8f749b092fdd02b00bc1e,188788270512801996869432,Wisdom Protocol,WIS,18,14,416561,23426070815,197029,2446435,deprecated,0x0162e2d0,"pac0as(uint256 STUPID,address BANANA,uint256 JEETS,uint256 STOP,address OVERBRIBING,bool AND,bool DUMPING,address NEXT,uint256 _BLOCK)",5046124
