Index,Address,FLAG,Contract,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
1,0x0080359f18daa3f2906e347a589ffd49c07c6258,0,0,77793.12269,729.8083744,2820805.85,37,3852,0,1,32,0.147888043,2.157887547,0.21876331,0.1,340.0,22.77436159,0.0,0.0,0.0,3889,842.6513789,842.6762699,0.0,0.024890989,21,1259888.79,0.0,0.0,0.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,0.707471652,888888.0,59994.70427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,KickToken
1,0x4764214c17e0bb358042345356a2ec5bf8e76c6b,1,0,0.0,107.7916667,20747.81667,1,3,0,3,1,0.5,3.0,1.333333333,3.999139,3.999139,3.999139,0.0,0.0,0.0,4,3.999139,4.0,0.0,0.000861,2,13.38,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.01,13.37,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Blockwell say NOTSAFU
1,0xd585209338fdc9eaa15ec3a2b7ec589fc99b9c5d,1,0,2949.813131,4273.181399,478596.3167,34,113,0,103,22,0.0001,9.0,0.629524221,0.00060808,30.235,2.131467167,0.0,0.0,0.0,147,72.46988369,71.13623694,0.0,-1.333646752,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0x6385eb73faE34bF90Ed4c3d4c8aFBC957FF4121C,1,0,35.55,182.0,910.0,5,6,0,3,5,1e-09,0.06790143,0.011316955,0.0,240.9895549,48.20191097,0.0,0.0,0.0,11,241.0095549,0.067901732,0.0,-240.9416531,34,12132776.98,48545167.6,6064402.985,7.0,6.0,15.0,4.0,0.0,0.0,0.0,0.0,0.00606837,5568371.562,1348086.331,0.0,6068370.287,1941806.704,0.0,0.0,0.0,9.0,4.0,Dai Stablecoin,Dai Stablecoin
1,0xc3c51c071e5f1eca09575ac35e90956ae3b27311,1,1,0.0,8659.672941,736073.2,0,86,1,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,1,1.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,# eth-apy.org
1,0x05c9b6764a153faf4262d3885a845af694775953,1,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0x820ba67398c3ea745eb8766fd3f444a92d4de316,1,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0xe6b39dad6d7a50b233da23e510697422e9d6351a,1,1,0.0,0.0,39.93333333,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0x0002bda54cb772d040f779e88eb453cac0daa244,0,0,3716.483333,2704.468519,516729.3,2,10,0,10,2,0.1131191,1.16545261,0.358905665,0.05,3.53861565,1.794307825,0.0,0.0,0.0,12,3.58861565,3.58905665,0.0,0.000441,8,1298.51207,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.270350349,777.0,162.3140088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,INS Promo
1,0x0000000000000000000000000000000000000000,2,0,0.0,222.527026,2225047.733,0,10000,0,1082,0,0.0,2000.0,0.496350988,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,4963.509879,0.0,4963.509879,10003,6.95e+73,1e+16,1e+16,95.0,80.0,104.0,26.0,0.0,0.0,0.0,0.0,0.0,1.16e+73,7.139999999999999e+69,0.0,1e+16,37471000000000.0,0.0,0.0,0.0,67.0,14.0,ai,EtherDollar
