blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
532832,1447396585,0x81dadb294e717ba2ed2c787573142abffec214589a7e8643338b25e6d820fafd,208,0x0e4b53d51a6ab0d5a4c8eee7caf2fe229ae3898178e97b0227764dfdab594ded,0xc8ebccc5f5689fa8659d83713341e5ad19349448,0x94f27b5141e17dd8816242d752c7be8e6764bd22,0x0000000000000000000000000000000000000000,5000000000000000,ETHER,ETH,8,1,149327,50000000000,49327,120313,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",23004449
680212,1449924553,0x67f623c1a883ca0bd26f6be4fe0dd6309897e58812da683b2d3df835a6f9f823,51,0xc195517a992adcfd8d84942652d381cd9339abc3428c02c162a918ac78253fc7,0x0000000000000000000000000000000000000000,0xe6069d0158fddf0fd9b13f8f9fe69829c4b869ed,0x3c770607ee15cffef99672722845b0c397130abd,100203994,,,2,0,151330,50000000000,41330,41330,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22857069
837587,1452613682,0x8ad8bdd7dbddd174bb88637376210b3729469b34c14c054559cd795c247cadaf,13,0xf5ec62a857c220e77aef0519f5b2da8b705e851e07085c91116de3931838830e,0x051869639e95edd08c7090e1d5014874e4f0fc28,0xf40f6093d0bc6c174ba3bccf1e3d7d6714a7583e,0x0000000000000000000000000000000000000000,0,Steak Festival,%,2,4,44381,50000000000,34381,438961,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",22699694
900611,1453697273,0x315f519f7af63836e1e6f2610d640bd838491a6d71855239baa861f4f0358b5f,13,0x56dbc974a9fe362b6fc5a4d1c5480982a89af9f009f71ae50ea9267b692fdb1f,0x0000000000000000000000000000000000000000,0xf92bb30f072537a83ec4673feeed228b7c66a97c,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,100,PR-DAO Token,$pr$,2,8,157421,50000000000,57421,225421,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22636670
938704,1454353871,0x21d4bfedecfcf46f0674ec58070f9834db0d6270ef74b7be3e7748c3323f5eec,34,0x2664edd7173fcf197e2bce242d0432528691efef8e7d9bb4e901fc7ce8afd99c,0x0000000000000000000000000000000000000000,0x3c725341328f07738c471dbf9667ba287bb75b6f,0xc9a198512e94341f6080e294548ab75cc135c272,39,Yer,Y$,0,23,145169,50000000000,45169,611925,deprecated,0x79c65068,"mintToken(address target, uint256 mintedAmount)",22598577
938725,1454354231,0xf2e4685ebc572499885a7358a6af07f36b5adb2237854b401181554849240505,35,0x126abb4afc451ca5123a255cdf7ee3edb91183bf737093fd2053889ef7ff229c,0x0000000000000000000000000000000000000000,0x3c725341328f07738c471dbf9667ba287bb75b6f,0xc9a198512e94341f6080e294548ab75cc135c272,10,Yer,Y$,0,0,130169,50000000000,30169,30169,deprecated,0x79c65068,"mintToken(address target, uint256 mintedAmount)",22598556
938834,1454356212,0xd0c4da7943aa6e69f9264dbe0dcfb924b80b170965973995a0e4f25d067fec69,41,0x8f56e13ae4e090bfb6c32a0a54a29b0a56640053d9cc13f65d676c16d9c21fd1,0x0000000000000000000000000000000000000000,0x3c725341328f07738c471dbf9667ba287bb75b6f,0xa46fcc88d1e03f79e264ec48bcf05094401a6962,2000,Yer,Y$,0,19,145233,50000000000,45233,841635,deprecated,0x79c65068,"mintToken(address target, uint256 mintedAmount)",22598447
969769,1454885697,0x5cbfc98c38bab2b638f32e068463179058df9cd97a04a2b506d0cbf68ec21d26,17,0x7850df8f39239c49cb6a2362d4bfd71c75ec2e97c448d789666dff735947bbc3,0x0000000000000000000000000000000000000000,0x194d26307c4ddbcf0dca16e6e36706fcddfb391c,0xf9eb2e9b42e86d3c2d8fb47dcf3d6c65d5258298,100000000,Martijn's Dollar,M$,2,1,156543,50000000000,56543,85787,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22567512
984364,1455136803,0x92fb81f256d2ec9327dcef6819099694afcaada6f4a9f90281ad1a9e08015130,124,0xe0e4f713a990329cb821e13ec07b01d05ba17e49d508c5e2db639bc406ef07fe,0x0000000000000000000000000000000000000000,0x3cf9b49ae29c1ebfa17053889e58a28af19626c9,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,1,myKwh,$kwh,0,4,156418,50000000000,56418,537692,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22552917
1003418,1455464257,0x698cd63bd6eac5482979310a7925bf3d4d30ff13227e254ab5c171161b20d56d,149,0x68f6ac35f9e4243faef82f7ff4d663036efa80ff504eb0dca1b11dc4c132a4b5,0x0000000000000000000000000000000000000000,0x3cf9b49ae29c1ebfa17053889e58a28af19626c9,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,1,myKwh,$kwh,0,0,156418,50000000000,56418,56418,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22533863
1003499,1455465423,0x815003f346681de3c4ad64c71b767eb6171ce85217fdbe37e2fe4029e8776dac,153,0x20c741f0f3b2b10e487cf78e98677c8508841a5bf5216064a8f10555e5849b55,0x0000000000000000000000000000000000000000,0xcb9df5dc2ed5d7d3972f601acfe35cdbe57341e0,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,36,windKwh,$wind,0,1,152156,50000000000,52156,73156,deprecated,0xbf636b6f,,22533782
1003517,1455465740,0xd6fa2c90ba324b079e42d73b32ab15eeb29a40ae6fd852127f9ff5eed2c1e0ec,154,0xa16c555526ae727aa745fb39478664000493bf8ab0fcc69164fa5ff34bb6758d,0x0000000000000000000000000000000000000000,0xcb9df5dc2ed5d7d3972f601acfe35cdbe57341e0,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,36,windKwh,$wind,0,0,137156,50000000000,37156,37156,deprecated,0xbf636b6f,,22533764
1010470,1455585884,0x6783be0d3a0efe44a93b6af603877e14c499e2eb24c6aaf4f7448b115408d9e2,10,0xf4dfd06659c8e7691641334eb943bda41f3b2889c9958635950b4b273b25a50c,0x0000000000000000000000000000000000000000,0x4214a91774c7c82a079a81a5ef108363db1e2961,0xcfb4828e6a30e348d6a96aff2ac037780829da5e,10000000,EtherDollar,E,4,3,156540,50000000000,56540,119540,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22526811
1042348,1456135587,0x45a1da0c733dc9cae7c71b1c8c0c2d78f1eea2288f6361df2e832bd38ce5d7b8,10,0x38806ae647225a2afc727d07808985038ba511c7db3773db5dd362896454f877,0xa79b7782bd78dae77aade96105a315d49ba1313f,0x0d90b565cd67733f70c21fe38f355e3469012856,0x0000000000000000000000000000000000000000,0, ,MB 2 Test,2,1,134238,50000000000,34238,55238,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",22494933
1044737,1456176225,0xc174dc44f515cc7eb481a689be4b7ff44636341af33cc952103592045d60029d,185,0x6c68c600c2e4cb3ce1d848c9f06f6feab42a63831fb4749835ea49cad740c4ff,0x0000000000000000000000000000000000000000,0x30b1f3bf2edea9b256f650d9623f39b351031c57,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,50000,,,0,8,145222,50000000000,45222,241177,deprecated,0x79c65068,"mintToken(address target, uint256 mintedAmount)",22492544
1045235,1456184130,0x8ae04744294eb657019cd14712c0b4db696adef440992f520ad7961a5bcdf401,26,0xd4445c1cc64f6c9b3b33e83e3f23e0929035c06aef44ed9d2525e1259e5ab6cb,0xa79b7782bd78dae77aade96105a315d49ba1313f,0x0d90b565cd67733f70c21fe38f355e3469012856,0x0000000000000000000000000000000000000000,0, ,MB 2 Test,2,1,134238,50000000000,34238,55238,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",22492046
1045514,1456188881,0xd23ed261960bc2927d60cd1d5a13e1c0b6e273891294e9dd035acc2e78cdac48,34,0x2959c3090b3363b9879bb857063c213bb9df323bf978774dcb49f2359a7f9d95,0xa79b7782bd78dae77aade96105a315d49ba1313f,0x0d90b565cd67733f70c21fe38f355e3469012856,0x0000000000000000000000000000000000000000,0, ,MB 2 Test,2,0,134238,50000000000,34238,34238,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",22491767
1053277,1456323627,0x916829e42cff44fdc03f970a0048a942d7d51d129012fe1b22c6f267eda37dcd,7,0x53a427dab12f1641f9a1761615f99dd20b609fa9a43221c8c4f1108b2e6c2608,0x0000000000000000000000000000000000000000,0x1992e866288866e49234f63b486727541bcc0f34,0x1992e866288866e49234f63b486727541bcc0f34,25,BitderbergGroup,BG,0,2,55169,50000000000,45169,87169,deprecated,0x79c65068,"mintToken(address target, uint256 mintedAmount)",22484004
1061896,1456470513,0xc656c53ee3e6f7bd938a6848a5b43179c78c8193feb9a35f3a5e8ec49141df98,18,0x7b491122d036fed599feb0649da2f8da6620d54e2a9890ccf48ba07f22c49e18,0x0000000000000000000000000000000000000000,0x875a532348a5de3ab419580bfe22eda95926fa79,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,160,EtherDollar,E,4,1,145388,50000000000,45388,66388,deprecated,0x0ecaea73,"create(address recipient, uint256 amount)",22475385
1061904,1456470694,0x212e8fb6d78392fff3be3a8d2f5027a4a4a723639018396ccf32882b22b5b2b7,19,0xfab0fd23569ba5ba7206c7ea1b2d7d5077c47199b9b05bf15ce6f8e1b49a19d4,0x0000000000000000000000000000000000000000,0x875a532348a5de3ab419580bfe22eda95926fa79,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,16000,EtherDollar,E,4,1,130452,50000000000,30452,51452,deprecated,0x0ecaea73,"create(address recipient, uint256 amount)",22475377
1061939,1456471082,0xfe912f03438c6947b31dbb2b3157018d3ee31f9662d5adc9c5f3bbe1998f9df1,21,0x31264197950a0d75e157b10c3d44be9e43da027129c6bc123c667749ab932afc,0x0000000000000000000000000000000000000000,0x25c6413359059694a7fca8e599ae39ce1c944da2,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,1000,EtherDollar,E,4,2,145176,50000000000,45176,87176,deprecated,0x0ecaea73,"create(address recipient, uint256 amount)",22475342
1061944,1456471199,0x67390e13609ce8ba126595d121d4fffdccf8e11e922f7c29fce3796148a24dec,22,0x3ca8fa434f48909adfefe2836f3fa5ea243a8940cc16e7be4b3a7b015c0a2b8a,0x0000000000000000000000000000000000000000,0x25c6413359059694a7fca8e599ae39ce1c944da2,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,50000,EtherDollar,E,4,15,130176,50000000000,30176,505320,deprecated,0x0ecaea73,"create(address recipient, uint256 amount)",22475337
1061946,1456471249,0xd62a74c7b04e8e0539398f6ba6a5eb11ad8aa862e77f0af718f0fad19b0b0480,2,0xb27843efcae718ef690fbdd681b56a65abdfdbd7fc363252f3832b7201ced19a,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,0x25c6413359059694a7fca8e599ae39ce1c944da2,0x0000000000000000000000000000000000000000,115792089237316195423570985008687907853269984665640564039457584007913129638936,EtherDollar,E,4,10,129014,50000000000,29014,239014,deprecated,0x9d118770,destroy(uint256 _value),22475335
1061955,1456471374,0x4a088ee17aba0115d76c7b961c03dd965af30a996761fb40d6ee26971385fecb,3,0x24a38b181f1065a65da72fd3c43b19bea638a5917da18eedbe18e816701eb0bf,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,0x25c6413359059694a7fca8e599ae39ce1c944da2,0x0000000000000000000000000000000000000000,115792089237316195423570985008687907853269984665640564039457584007913129589936,EtherDollar,E,4,1,114507,50000000000,14507,35507,deprecated,0x9d118770,destroy(uint256 _value),22475326
1067630,1456568168,0x9f86d47a743e0a698abef99debdf94ab58bd256fe17c653cb61f67bb96767d8f,29,0x1d68a0a0af9f7f7cd209f86d386529b8a799f778fe90dc0f4c4498c82a0f666d,0x0000000000000000000000000000000000000000,0xb08708e9b7016ba148fc038debe07a75c5ef877c,0x8f7d293cd13697835e640d8a493671b3313e2853,4999,jamdollar,$,2,0,156479,50000000000,56479,56479,deprecated,0x237e9492,"executeProposal(uint256 _proposalID, bytes _transactionData)",22469651
